codigo_barras,descricao,marca,grupo,quantidade,acucaresAdicionadosG,acucaresG,calcioMg,carboidratoG,cobreMg,colesterolMg,energiaKcal,energiaKj,ferroMg,fibraG,fosforoMg,gordurasMonoinsaturadasG,gordurasPoliinsaturadasG,gordurasSaturadasG,gordurasTransG,lipideosG,magnesioMg,manganesMg,niacinaMg,piridoxinaMg,potassioMg,proteinaG,retinolMcg,riboflavinaMg,sodioMg,tiaminaMg,vitaminaCMg,zincoMg
7890000000710,Paleta Morango Com Leite Condensado,Gusta+,,,,26.6667,,30,,,152.5,643.5833,,,,,,,,2.5,,,,,,2.4167,,,35.8333,,,
7890000110266,Leite Condensado Semidesnatado ITALAC,Italac,Leites Condensados,395g,8.9,12,58,12,,,61,259.1,,0,,,,0.5,,0.8,,,,,,1.5,,,25,,,
7890000180146,Queijo Prato Fatiado Crioulo,Crioulo,Queijo prato,150g,,0,803.3333,0,,,396.6667,1630,,0,,,,24,0.6667,33.3333,,,,,,23.3333,,,890,,,
7890001161069,Cookie Bolo De Festa,Iron,,,28,31,,41,,,378,1672,,11,,,,,,18,,,,,,13,,,,,,
7890001596243,Palitos de batata finos Airfryer!,MCCAIN,Batatas fritas,1kg,0,0.5,,25,,,170,713.5,,3,,,,0.7,,6,,,,,,2.5,,,160,,,
7890001970029,Plin Kombucha Hibisco com frutas vermelhas,Plin,,,,,,3.56,,,14.24,,,,,,,,,,,,,,,,,,,,,
7890001970050,Kombucha,Plin,en:Kombuchas,,,,,3.35,,,16.4933,,,,,,,,,0.34,,,,,,,,,,,,
7890002000015,Pao de mel - Doce Ricordo - Doce Ricordo,,,,,,,67,,,435,1830.1,,3.2,,,,,,15,,,,,,6.5,,,,,,
7890002007236,Creme De Leite Piracanjuba,Piracanjuba,Cremes UHT,200g,0,4,,4,,,173.3333,709.3333,,0,,,,10.6667,,17.3333,,,,,,0,,,80,,,
7890010809587,Leite Desnatado Piracanjuba,Piracanjuba,Leites,1L,0,0,121.5,4.6,,,34,143.85,,0,,,,0.25,,0.35,,,,,,3.1,,,62,,,
7890014120725,Leite UHT Integral Qualitá Caixa com Tampa 1l,Qualitá,Leites UHT,1L,0,0,248,9.2,,35,116,483.8,,0,,,,3.5,,6,,,,,,6.2,,,129,,,
7890017981767,Sardinha Em Oléo 88 Lata 125g,88,Sardinhas enlatadas,125g,0,0,368.3333,0,,35,190,797.5,,0,,3.1667,5.5,2.1667,,10.8333,,,,,,23.3333,,,550,,,
7890020011460,Flores de damasco,,,,,50.8772,,54.386,,,445.614,1842.1053,,1.7544,,,,19.2982,,22.807,,,,,,3.5088,,,40.3509,,,
7890081032464,X whey proteína concentrado,,,,,,,6,,,113,428,,,,,,0.75,,1,,,,,,17,,,181,,,
7890106000751,Aveia Flocos Grossos Sem Glúten Casas Pedro - 200g,Casas Pedro,Flocos de aveia,200g,0,0,54,56.6667,0.63,0,340,1290,4.72,10,523,,,0,,6.6667,177,4.92,,0.12,429,0,,,0,,0,3.97
7890110201397,Chocolate amargo com caramelo crocante e flor de sal,Kopenhagen,,,,48,,54,,,526,2265.2,,6.8,,,,20,,32,,,,,,6.4,,,,,,
7890110201427,Dark 70% Cacau,Kopenhagen,,,,,,27.6,,,552,2379.2,,14,,,,27.2,,44,,,,,,10,,,,,,
7890110201441,Soul good,,,,,2.3,,8.9,,,160,611.1,,1.5,,,,7.2,,11,,,,,,2.4,,,1.9,,,
7890110201793,Keep kop crocantes caramelo & flor de sal,Kopenhagen,,,,43,,55,,,496,2123,,4.5,,,,12,,27,,,,,,9,,,,,,
7890110201991,Mini tablete 70% cacau,Kopenhagem,,,,,,9,,,109,464.1,,1.3,,,,,,7.3,,,,,,1.8,,,,,,
7890110202066,Tablete 70% cacau com nibs,Kopenhagen,,,,,,27.3333,,,630,2470.6667,,13.6667,,,,,,46.6667,,,,,,10,,,,,,
7890110202127,Bombons língua de gato,,,,,8,,39,,,585,2229,,5.5,,,,19.5,,37,,,,,,9,,,70,,,
7890110202165,80% Dark Chocolate,Kopenhagen,,,,18,,26,,,565,2368,,,,,,29,,47,,,,,,11,,,23,,,
7890110202264,Brownie Kopenhagen,Kopenhagen,en:chocolate-candies,,,,,39,,,210,382,,3.3,,,,11,0,18,,,,,,4.5,,,139,,,
7890110202356,Soul Good Creme de Avelã,Kopenhagen,,,,2.5,,36.5,,,555,2470,,15.5,,,,9,,42.5,,,,,,9,,,38.5,,,
7890110202363,Creme Lajotinha,Kopenhagen,,,,9.5,,40.5,,,540,2029,,4,,,,6.5,,31,,,,,,9.5,,,,,,
7890110202516,Canutti,,,,,44,,48,,,456,1898.8,,2.8,,,,12.4,,24.8,,,,,,8.4,,,72,,,
7890110202707,Trufas Artesanais Ao Leite,Kopenhagen,,,,44,,48,,,480,2001.3333,,,,,,18,,28.6667,,,,,,7.3333,,,93.3333,,,
7890110202721,Coleção Língua de Gato,Kopenhagen,,,,46,,47,,,578,2407.9,,3.1,,,,22,,39,,,,,,8.3,,,,,,
7890110501527,Panettone Língua de Gato,Kopenhagen,Panettone,,,,,56.25,,,437.5,1861.625,,1.875,,,,10.625,,21.25,,,,,,6.125,,,,,,
7890111000586,Chocolate 50% Caramelo E Flor De Sal,Kopenhagen,,,48,54,,54,,,526,2265.2,,6.8,,,,20,,32,,,,,,6.4,,,156,,,
7890114401991,Mini tablete 70%,Kopenhagem,,,,,,45,,,545,2320.5,,6.5,,,,,,36.5,,,,,,9,,,,,,
7890120202483,Chocolate zero bem me faz Brasil cacau,Brasil Cacau,,,,0.4,,9.3,,,132,485.2,,1.3,,,,5.1,,8.1,,,,,,1,,,,,,
7890120202612,Bombom zero gato Mia Brasil cacau,Brasil Cacau,,,,0.7,,9.1,,,119,436.3,,1.2,,,,3.6,,6.8,,,,,,1.2,,,,,,
7890120202650,Ovomaltine Recheado,BrasilCacau,Lanches doces,90 g,53.1246,,,56,,,532,2209.6,,,,,,16.4,,31.6,,,,,,5.2,,,77.216,,,
7890120202971,Dindinha,,,,,48.8889,,55.5556,,,444.4444,1869.5556,,2,,,,14.2222,,22.2222,,,,,,5.1111,,,688.8889,,,
7890120202988,Trufa de Toddy - Brasil Cacau - Brasil Cacau - Brasil Cacau - Brasil Cacau - Brasil Cacau - Brasil Cacau,,,,,,,53.3333,,,480,2037,,2,,,,,,27.6667,,,,,,5.3333,,,,,,
7890130202817,Trufa De Chocolate Suíço Ao Leite Lindt Lindor Caixa 112g 9 Unidades,LINDT LINDOR,,112g,,43,,44,,,623,2584.5,,2.2,,,,35,,47,,,,,,4.7,,,73,,,
7890130202848,Trufa De Chocolate Suíço Ao Leite Recheio Cremoso Coração Lindt Lindor Lata 50g 4 Unidades,LINDT LINDOR,,50g,,,,44,,,628,2627.552,,,,,,,,0,,,,,,4.8,,,,,,
7890130400725,Ovo De Páscoa Ao Leite Com Coelhos De Chocolate Lindt Caixa 125g,LINDT,,125g,,,,52,,,560,2343.04,,,,,,,,0,,,,,,6,,,,,,
7890130401050,Ovo De Páscoa Ao Leite Com Avelã Lindt Nocciolatte Caixa 350g,LINDT,,350g,,,,44,,,588,2460.192,,,,,,,,0,,,,,,7.2,,,,,,
7890130401173,Ovo De Páscoa Ao Leite Recheio Trufa De Chocolate Ao Leite Lindt Lindor Caixa 235g,LINDT LINDOR,,235g,,,,52,,,560,2343.04,,,,,,,,0,,,,,,6,,,,,,
7890130501255,Panettone Trufado Ao Leite,LINDT,,,,,,48,,,410,1705.2,,,,,,,,21,,,,,,6.6,,,,,,
7890130501354,Panettone Com Gotas De Chocolate Ao Leite Duplo Chocolate Lindt Caixa 400g,LINDT,en:panettone,400g,,27,,36,,,339,1415.8,,1.5,,,,8.1,,18,,,,,,7.4,,,185,,,
78901612,Licor Amaretto Dellorso 700ml,AMARETTO DELL ORSO,,700ml,,,,52,,,208,870.272,,,,,,,,0,,,,,,0,,,,,,
78902077,Requeijão light,,,,,4,,4,,,59,823.6,,,,,,10.7,,15,,,,,,11.8,,,174.4,,,
7890300117989,Polvilho azedo - Fritz,,,,,,,85,,,350,,,,,,,,,,,,,,,,,,,,,
7890300119082,Polvilho doce - Fritz,,,,,,,85,,,342,,,0.2,,,,,,,,,,,,0.4,,,,,,
7890300155929,Feijão Preto,Fritz & Frida,Alimentos enlatados,1 kg,,,,58.3333,,,373.8333,1358.3333,6.5,21.6667,,,,0,,1.1667,,,,,,21.6667,,,0,,,
7890300221341,Pipoca sabor chocolate,,,,,,,53,,,397,1740.3,,9.5,,,,8.1,,17,,,,,,7.9,,,,,,
7890300363614,Arroz Integral,Fritz & Frida,Rices,1 kg,,,,78,,,369.6,1152,,5,,,,0.6,,2,,,,,,7.4,,,4,,,
7890300567203,Massa Caseira com Ovos Pappardelle,Fritz e Frida,Massas secas,400 g,0,,,68.75,,,325,1441.25,,7.5,,,,0,,0,,,,,,12.5,,,70,,,
7890300569856,Tapioca - Fritz Frida,Fritz Frida,,500 g,,,,57,,,226,,,,,,,,,,,,,,,,,,,,,
7890300680322,Sagu de Mandioca Premium,Fritz e Frida,Tapioca,400 g,0,,,83.3333,,,340,1426.6667,,0,,,,0,,0,,,,,,0,,,0,,,
7890300691618,Creme De Avelã Com Cacau,Fritz e Frida,,,,,,59,,,524,2139.3,,,,,,,,28,,,,,,5.9,,,,,,
7890309198804,GranoLife - 800g,,,,,,,50,,,430,1827.6667,,11.6667,,,,1,,13.3333,,,,,,23,,,,,,
78903784,Sobremesa Láctea Chocolate Batavo Creamy Bandeja 180g 2 Unidades,Batavo,,180g,,,,21,,,152,635.968,,,,,,,,6,,,,,,3.5,,,,,,
78903791,Sobremesa Láctea Chocolate Branco Batavo Creamy Bandeja 180g 2 Unidades,Batavo,,180g,,,,22,,,145,606.68,,,,,,,,0,,,,,,4.2,,,,,,
7890409740101,Uva Rosada,,,,,,,17,,,70,,,,,,,,,,,,,,,,,,,,,
7890443889064,Queijo de coalho,,,,,,,,,,303.3333,,,,,,,13.3333,,21.6667,,,,,,23.3333,,,333.3333,,,
7890483572032,Manteiga de garrafa,Sabiá,,,,,,0.3667,,,343.3333,1427.5667,,,,,,,,38.2,,,,,,0.4667,,,,,,
7890523400516,Pão De Queijo,Caseiro Gourmet,,,0,,,26,,,224,980,,4.8,,,,2.4,,12.4,,,,,,2.4,,,520,,,
7890567137300,Filé de merluza temperado empanado - Swift,,,,,2.5385,,16.1538,,,196.9231,831.5385,,0.7692,,,,2.5385,,9.2308,,,,,,12.3077,,,,,,
7890603680708,Doce de leite,,,,,,,55,,,245,1181.4667,,,,,,,,4.3333,,,,,,5.0667,,,,,,
7890610659513,Lemonade clear whey isolate,Wicked Protein,,,,1,,1,,,95,,,,,,,,,,,,,,,23,,,,,,
78906679,Requeijão cremoso,Ibiacão,Requeijão cremoso,250g,0,0,,0,0,,333.3333,1336,0,0,0,,,21.3333,2.6667,31.6667,0,0,,,,9.6667,0,,513.3333,,0,0
7890688164049,Myowhey,PurusLabs,,,,,,8,,,132,559.6,,,,,,1,,1.8,,,,,,21,,,,,,
78906884,Pastilhas Valda Classic,Valda,,,,40,,90,,,415,,,,,,,,,,,,,,,0,,,90,,,
78907355,Talento meio amargo,GAROTO,,,,11,,48,,,524,2138,,2.1,,,,3.9,,31.6,,,,,,8,,,,,,
78907461,Talento avelã,Garoto Talento,,,,48,,52,,,544,2318,,4,,,,17.2,,34.4,,,,,,7.6,,,,,,
78907478,Talento Castanhas do Pará,"Garoto,Talento",en:Milk chocolate with dried fruits,25 g / 0.88 oz,42,51,,51,,,555,2313,,4,,,,18,,35,,,,,,7,,,61,,,
78907485,Chocolate Cereales y Pasas mini,TALENTO,,25 gr,,52,,56,,,536,2234.4,,0,,,,18.4,,30.8,,,,,,8.4,,,112,,,
78907492,Talento Amêndoas e Passas,"Garoto,Talento",en:Milk chocolates with raisins,25 g / 0.88 oz,54.5455,59.4997,125.7627,60,0.0389,3.8636,520,2224,0.175,4,107.8693,,,16,,28,19.5364,0.0612,0.1903,0.0398,177.2216,8,35.2273,0.2249,60,0.0293,0.4943,0.5157
78908826,Biscuits p’tit déj,,,,,18,,63,,,452,1879.6,,6.3,,,,7.6,,17,,,,,,7.6,,,272,,,
78908901,Refrigerante Coca Cola Garrafa 200ml,COCA-COLA,Bebidas adoçadas,200ml,,,,10.5,,,42.5,177.82,,,,,,,,0,,,,,,0,,,,,,
7890901844017,Pão de forma,,,,,,,58,,,260,,,1.6,,,,,,,,,,,,7.2,,,4000,,,
7890901844055,Pão de forma integral sem açúcar,,,,,,,25,,,121,529.4,,2.2,,,,,,0.6,,,,,,3.8,,,240,,,
78909052,Fanta Uva,FANTA,,,,2.28,,5.6,,,23.2,95.2,,0,,,,,,0,,,,,,0,,,6.4,,,
7890914055851,Aubergine Parmigiana Ravioli,"Artisan Pastificio, La Tua Pasta",Fresh pasta stuffed with vegetables,250g,0,2,,26.4,,,189,794,,,,,,2,,5.2,,,,,,8.3,,,360,,,
78909434,"Bombom Ferrero Rocher Pacote 37,5g",FERRERO ROCHER,Bombons,37.5g,32.4,40,,44,,,596,2550.8,,4,,,,14,0,44,,,,,,8.4,,,60,,,
7890944342426,Clémentine pressée,Tropicana,,,,10,,10,,,200,192.7,,1.1,,,,,,0.1,,,,,,0.6,,,,,,
7891000001080,Fórmula Infantil Ninho Fases 1+,Nestlé,en:milks,400 g,,,,15,,,132,552.288,,,,,,,,5.8,,,,,,4.9,,,,,,
7891000001516,Tradicional,"Nestlé,Nesfit",Extruded cereals,300 g,5.8864,15,798,72,0.0983,0,346,1453,12.5,9.1,86.9827,0.5,1,0.4,0,1.9,34.6246,0.7054,18,0.1263,102.0723,9.7,0,0.0308,404,0.0666,0,9.5
7891000002186,Cereal Matinal Corn Flakes Caixa 240g,Nestlé,Cereias para pequeno-almoçco,240g,1.4143,8.6667,,83.3333,,,376.6667,1575.9733,,5.6667,,,,,,2.3333,,,,,,7,,,304.8,,,
7891000003404,Composto Lácteo Ninho Fases 3+,"Nestlé,Ninho",Composto Lácteo em Pó,400 g,0,,,53.125,,,446.875,1901.875,,3.125,,,,6.875,,20,,,,,,13.75,,,215.9,,,6.5625
7891000003770,Nestlé Classic Ao Leite,Nestlé,,,,,,60,,,520,2175.68,,,,,,,,28.4,,,,,,5.6,,,,,,
7891000004616,Nesquik,Nestlé,en:cocoa-and-chocolate-powders,400 g,0,80.12,1328.57,92.9,,0,384,1714.64,18.57,0.29,,,,0.02,0,2.86,,,,,0,1.6,,,10,,,
7891000006290,Café Com Leite Solúvel Nescafé Lata 300g,Nestlé,en:instant-coffees,300g,,,,72.7273,,,400,1673.6,,,,,,,,0,,,,,,12.2727,,,,,,
7891000006634,Moça flakes,Nestlé,,,,9,,25,,,111,484,,1.2,,,,,,0.6,,,,,,1.6,,,,,,
7891000006689,Tempero Granulado 7 Vegetais Maggi Meu Segredo Caixa 49g 7 Unidades,Nestlé,en:spices,49g,,,,17.1429,,,100,418.4,,,,,,,,0,,,,,,0,,,,,,
7891000008119,Nescau Cereal,Nestlé,en:breakfast-cereals,270 g,,30,693.3333,76.6667,,,386.6667,1629,14,5.6667,,,,1.6667,,4.6667,,,,,,6.3333,,,366.6667,,,4.3333
7891000010860,Cafe Nestle Nescafe Sachet 50 GR,,en:coffees,,,0,,0.3,,,1,8.5,,,,,,0,,0,,,,,,0.2,,,0,,,
7891000011287,Cereal Infantil Arroz Mucilon Lata 400g,Nestlé,en:breakfast-cereals,400g,23.6111,,,85.7143,,,380.9524,1593.9048,,,,,,,,0,,,,,,4.7619,,,,,,
7891000011294,Cereal Infantil Milho Mucilon Lata 400g,Nestlé,,400g,,,,85.7143,,,380.9524,1593.9048,,,,,,,,0,,,,,,4.7619,,,,,,
7891000011300,Neston,Nestlé,,400g,,3.9,,21,,,105,449.2,,,,,,0,,0.7,,,,,,3.9,,,0,,,
7891000011799,Neston 3 cereais,Nestlé,,,,3.9,,21,,,105,472.4,,2.9,,,,0,,0.7,,,,,,3.9,,,0,,,
7891000012109,Cereal Infantil Arroz Mucilon Pacote 230g,Nestlé,,230g,,,,85.7143,,,380.9524,1593.9048,,,,,,,,0,,,,,,5.2381,,,,,,
7891000012123,Cereal Infantil Milho Mucilon Pacote 230g,Nestlé,,230g,,,,85.7143,,,376.1905,1573.981,,,,,,,,0,,,,,,5.2381,,,,,,
7891000016640,Farinha Láctea Nestlé,Nestlé,Farinha Láctea,230g,10.9375,,260,73.3333,,,396.6667,1720.3333,13.6667,3,,,,3,0,6.3333,,,15.6667,,,12.6667,593.3333,,111.76,,43.3333,
7891000018750,Bono,Nestlé,en:filled-biscuits,140 g,0,10,,23,,,133,567.3,,,,,,0.9,,3.8,,,,,,2.1,,,17.6,,,
7891000023167,Bebida Láctea Uht Chocolate Light Nescau Caixa 200ml,Nestlé,,200ml,,,,7.5,,,48.5,202.924,,,,,,,,0,,,,,,2.25,,,,,,
7891000023808,Biscoito Chocolate Recheio Baunilha Negresco Pacote 140g,Nestlé,en:filled-biscuits,140g,,,,70,,,440,1840.96,,,,,,,,14.6667,,,,,,7.6667,,,,,,
7891000025123,Cappuccino Solúvel Negresco Nescafé Lata 180g,NEGRESCO,,180g,,,,80,,,355,1485.32,,,,,,,,0,,,,,,5.5,,,,,,
7891000026182,Sopão Costela Com Legumes Maggi Sachê 200g,Nestlé,,200g,,,,72,,,340,1422.56,,,,,,,,2.4,,,,,,9.2,,,,,,
7891000027967,Chamyto Big,"Chamyto, Nestlé, Dairy Partners Americas Brasil LTDA",Fermented milk drinks,120 g,,9.1667,88.3333,10.8333,,,54.6667,,,,,,,,,,,,,,,2.1667,,,35.8333,,,1.75
7891000027974,Pack Leite Fermentado Desnatado Chamyto Big Frasco 720g 6 Unidades,Chamyto,Leites,720g,,,,15.8333,,,73.3333,306.8267,,,,,,,,0,,,,,,2,,,,,,
7891000029329,Nescafé Tradição Forte,"Nescafé,Nestlé",en:coffees,100 g,0,,120,40.2,1.55,0,396.6,1656.4,4.1,19.8,160,,,,,15.4,240,2.13,,0.001,2020,14.4,,,74,,0,0.79
7891000035610,Cereal Infantil Arroz Aveia Mucilon Pacote 230g,Nestlé,,230g,,,,85.7143,,,376.1905,1573.981,,,,,,,,0,,,,,,7.1429,,,,,,
7891000035634,Cereal Infantil Multicereais Mucilon Pacote 230g,Nestlé,,230g,,,,85.7143,,,376.1905,1573.981,,,,,,,,0,,,,,,8.0952,,,,,,
7891000035832,Multicereais,"Nestlé,Mucilon",Farinhas de cereais,400 g,2.15,20.4762,,85.7143,,,380.9524,1602.8571,,0,,,,,,0,,,,,,8.5714,,,176.1905,,,
7891000040898,Arroz & Aveia,"Nestlé,Mucilon",en:Instant cereal powder to be reconstituted for baby from 6 months,400 g,19,,,17,,,79,332,,0,,,,0,0,0,,,,,,1.4,,,39,,,
7891000049020,Papinha Banana E Aveia Naturnes Vidro 120g,Nestlé,,120g,,,,13.3333,,,60.8333,254.5267,,,,,,,,0,,,,,,0.9167,,,,,,
7891000049051,"Sopinha Macarrão, Legumes E Peito De Frango Naturnes Vidro 115g",Nestlé,,115g,,,,8.3478,,,80.8696,338.3583,,,,,,,,3.5652,,,,,,4,,,,,,
7891000049068,"Sopinha Carne, Legumes E Mandioquinha Naturnes Vidro 115g",Nestlé,,115g,,,,8.3478,,,74.7826,312.8904,,,,,,,,3.0435,,,,,,3.4783,,,,,,
7891000049099,"Sopinha Macarrão, Carne E Legumes Naturnes Vidro 115g",Nestlé,,115g,,,,6.3478,,,70.4348,294.6991,,,,,,,,3.2174,,,,,,4,,,,,,
7891000049105,Papinha Frutas Sortidas Naturnes Vidro 120g,Nestlé,,120g,,,,15.8333,,,63.3333,264.9867,,,,,,,,0,,,,,,0,,,,,,
7891000049112,Papinha Maçã E Banana Naturnes Vidro 120g,Nestlé,,120g,,,,11.6667,,,53.3333,223.1467,,,,,,,,0,,,,,,0.75,,,,,,
7891000049143,Papinha Maçã Naturnes Vidro 120g,Nestlé,,120g,,,,10.8333,,,45.8333,191.7667,,,,,,,,0,,,,,,0,,,,,,
7891000049235,"Papinha Caldo De Feijão, Carne E Arroz Naturnes Vidro 170g",Nestlé,,170g,,,,11,,,150,627.6,,,,,,,,7,,,,,,9,,,,,,
7891000049242,Sopinha Peito De Frango Com Legumes Naturnes Vidro 170g,Nestlé,,170g,,,,7.0588,,,74.1176,310.1082,,,,,,,,3.2353,,,,,,4.2941,,,,,,
7891000049259,"Sopinha Macarrão, Carne E Legumes Naturnes Vidro 170g",Nestlé,,170g,,,,8.2353,,,75.8824,317.4918,,,,,,,,3.1765,,,,,,3.4706,,,,,,
7891000049266,"Sopinha Beterraba, Feijão E Legumes Naturnes Vidro 115g",Nestlé,,115g,,,,9.5652,,,73.0435,305.6139,,,,,,,,2.8696,,,,,,1.8261,,,,,,
7891000049273,Sopinha Legumes Com Carne Naturnes Vidro 115g,Nestlé,,115g,,,,5.4783,,,74.7826,312.8904,,,,,,,,0,,,,,,3.2174,,,,,,
7891000049280,Sopinha Legumes E Carne Naturnes Vidro 170g,Nestlé,,170g,,,,6.4706,,,72.9412,305.1859,,,,,,,,3.5294,,,,,,3.5882,,,,,,
7891000049891,Sopão Brazil,MAGGI,,,,,,68,,,344,1480,,3.6,,,,,,3.2,,,,,,10.4,,,,,,
7891000050880,Cereal Matinal Snow Flakes Sachê 120g,Nestlé,,120g,,,,83.3333,,,370,1548.08,,,,,,,,0,,,,,,5.6667,,,,,,
7891000050927,CEREAL MOCA FLAKES SACHET 120G NESTLE,Nestlé,en:breakfast-cereals,120g,,28.3333,,83.3333,,,386.6667,1599.3333,,,,,,,,2.3333,,,,,,5.6667,,,,,,
7891000051375,Nestlé Passatempo Morango,Nestlé,,,,,,66.6667,,,473.3333,1980.4267,,,,,,,,19.3333,,,,,,6.6667,,,,,,
7891000051436,BISC PASSATEMPO LEITE 150G NESTLE,Nestlé,Biscoitos,150 g,21.6667,22,656.6667,73.3333,,,456.6667,1915.6667,,2,,,,2.3333,,13.6667,,,,,,8.6667,,,190,,,5.67
7891000051474,Achocolatado Pó Light Nescau Lata 400g,Nestlé,,400g,,,,,,,640,2677.76,,,,,,,,0,,,,,,12,,,,,,
7891000055922,Leite Condensado Integral Moça,Moça,Leites condensados,395g,0,0,120,55,0.005,12.5,325,1350,0.01,0,97,,,5.5,,8,9.8,0.005,0.05,0.02,160,7,31.4,0.17,110,0.041,0.25,0.37
7891000060407,Nestlé Nesfit Integral,"Nestlé,Nestlé Brasil",Biscoito Integral,170g,4.2188,,,63.3333,,,433.3333,1859.3333,,5.3333,,3.3333,8,4,0,14.3333,,,,,,12.3333,,,491.0667,,,
7891000060421,Nesfit Gergelim,Nestlé,Dry biscuits,170 g,4.5018,5.3333,,60,,0,426.6667,1793.3333,,7.3333,,3.6667,5.3333,2.6667,0,16.3333,,,,,,9.6667,,,520,,,
7891000061190,Nescau 2.0,"Nestlé,Nescau",Achocolatado em pó,200 g,57.1429,75,2100,85,,,365,1535,13.5,4.5,,,,0,0,0,,,15,,,3,565,,300,,42,
7891000062043,Neston Flocos de 3 Cereais,Nestlé,Flocos de Cereais,240g,5.5556,,562.5,70.8333,,,345.8333,1454.1667,12.5,6.25,487.5,,,0,0,0,,,14.5833,,,12.5,,,262.4667,,40.4167,
7891000062661,Composto Lácteo Ninho Fases 1 Lata 800g,Nestlé,en:powder milk,800 g,,,,51.7241,,,455.1724,1904.4414,,,,,,,,20,,,,,,16.8966,,,,,,
7891000062722,Fórmula Infantil Para Lactentes 1 Nestogeno Lata 800g,Nestlé,,800g,,,,56,,,504,2108.736,,,,,,,,26,,,,,,13,,,,,,
7891000062760,Fórmula Infantil Para Lactentes 2 Nestogeno Lata 800g,Nestlé,,800g,,,,51,,,478,1999.952,,,,,,,,22,,,,,,20,,,,,,
7891000065389,Fórmula Infantil Para Lactentes Nan Comfor 1 Lata 400g,Nestlé,,,,,,55,,,505,2112.92,,,,,,,,28,,,,,,9.3,,,,,,
7891000065440,Leite moça,Nestlé Moça,Condensed milks,395,48,59,,59,,,305,1273.4,,0,,,,2.6,0.2,4,,,,,,7.2,,,111,,,
7891000066560,Integral,"Ninho,Nestlé",Leites,1 l,,4.8,119,4.8,,,60.8,254,2.1,0,,,,1.8,0,3.2,,,,,,3.2,93.5,,64.008,,7,1.05
7891000067048,Bebida Láctea Uht Chocolate Ao Leite Alpino Frasco 280ml,Nestlé,,estoque todo,,,,8.9286,,,60,251.04,,,,,,,,0,,,,,,2.2857,,,,,,
7891000067178,Achocolatado Pó Nescau Pacote 800g Embalagem Econômica,Nestlé,en:cocoa-and-chocolate-powders,800g,,,,85,,,370,1548.08,,,,,,,,0,,,,,,3.5,,,,,,
7891000067253,Alpino,"Nestlé,Alpino",Bonbons,195 g (15 u x 13 g),41,53,,53,,,556,2318.3,,2.7,,,,20,0.4,34,,,,,,8.1,,,102,,,
7891000067697,Nestlé Moça Light Lata,Nestlé,,,,,,60,,,275,1150.6,,,,,,,,0,,,,,,9.5,,,,,,
7891000068298,Biscoito Salgado Integral,NESFIT,en:biscuits,,,11.9048,,61.9048,,,414.2857,1848.5714,,10,,,,1.9048,,14.7619,,,,,,10,,,619.0476,,,
7891000068441,Biscoito Combina Com Seu Dia 3 Cereais,Nestlé,en:biscuits,126 g,,,,66.6667,,,438.0952,1832.9905,,,,,,,,14.7619,,,,,,11.4286,,,,,,
7891000068458,Biscoito Integral Nesfit Pacote 126g,NESFIT,,126g,,,,61.9048,,,442.8571,1852.9143,,,,,,,,16.1905,,,,,,10.9524,,,,,,
7891000070130,Pão de batata,CDM,,,,,,40.7,,,246,,,0.8,,,,1.8,,7.3,,,,,,,,,,,,
7891000070444,Chamyto Nestlé,Nestlé Chamyto,,450g,,9.2,,10.6,,,52,215.9,,0,,,,0,,0,,,,,,2.1,,,0,,,
7891000070673,Nescau Cereal,Nestlé,en:breakfast-cereals,120g,29,30,,77,,,388,1638.4,,5.8,,,,,,4.8,,,,,,6.2,,,,,,
7891000071625,Fórmula Infantil Para Lactentes,Nestlé,Infant formulas,800g,18,52,310,54,0.4,,508,2133.4,5.5,3.3,165,,,10,,28,63,0.11,4.3,,480,9,460,,140,,85,5.7
7891000071786,Nescafe Classic,Nescafé,Instant coffees,,0,0,,0,,,0,0,,,,,,0,,0,,,,,,0,,,0,,,
7891000071809,Nescafe Classic,Nescafé,Cafés solubles,,,,,2.5,,,75,313,,14,,,,,,0.4,,,,,,8,,,110,,,
7891000071823,Nescafe Classic Coffee,Nescafé,en:coffees,0.03 kg,,0,,0,,,0,0,,,,,,0,,0,,,,,,0,,,0,,,
7891000072899,Crunch Cereal,Nestlé,Cereais e seus produtos,330g,,9.3,169,22,,,117,500.9,4.2,1.9,,,,0.9,0,2.1,,,,,,2,,,23.2,,,1.2
7891000072974,Yogurte integral sabor mel,Nestlé,en:yogurts,170g,8.7,12,121,13,,,90,378,,0,,,,1.6,,2.8,,,,,,3.2,,,46,,,
7891000072998,iogurte desnatado com cenoura laranja e mel,Nestlé,Iogurtes de fruta,170g,9.2,12,100,13,0.0095,9.8214,90,378,0.058,0,79.4577,,,1.6,0,2.8,9.2066,0.015,0.0623,0.0237,150.4671,3.2,24.6714,0.1369,47.752,0.036,2.5776,0.3168
7891000073018,Yogurte Natural Desnatado,Nestlé,Iogurtes naturales,160g,0,0,138,4.1,0,0,31.25,130.9,0,0,0,,,0,,0,0,0,,,,3.6,0,,49,,0,0
7891000073100,Cereal Infantil Arroz E Aveia Mucilon Pacote 600g Embalagem Econômica,Nestlé,,600g,,,,85.7143,,,376.1905,1573.981,,,,,,,,0,,,,,,7.1429,,,,,,
7891000076392,Cappuccino Solúvel Tradicional Nescafé Lata 200g,Nescafé,Cafés instantâneos,200g,,,,70,,,420,1757.28,,,,,,,,0,,,,,,13,,,,,,
